scenario	requested_bytes	observed_latency_ms	channel	corr	total_ms	queue_ms	translate_ms	exec_ms	format_ms	finalize_ms	egress_ms	egress_enqueue_ms	egress_queue_ms	egress_prepare_ms	egress_write_ms	frame_bytes	writer_queue_depth	writer_active	writer_queue_full	reserve_timeouts
saturation	4096	51463.051	3	800250	49587.286	0.400	0.001	0.001	0.003	0.000	49583.672	7143.487	42440.167	0.003	0.014	12632	219	true	true	16
saturation	4096	51566.522	4	800251	49587.369	0.410	0.001	0.001	0.012	0.000	49583.733	7143.471	42440.247	0.003	0.012	12632	220	true	true	16
saturation	262144	51670.538	5	800252	49587.865	0.430	0.002	0.024	0.140	0.000	49584.057	7143.302	42440.319	0.121	0.315	786782	221	true	true	16
saturation	4096	51773.946	6	800253	49587.947	0.604	0.001	0.002	0.002	0.000	49584.123	7143.291	42440.816	0.004	0.011	12632	222	true	true	16
saturation	4096	51876.991	7	800254	49588.020	0.607	0.001	0.001	0.002	0.000	49584.182	7143.282	42440.886	0.003	0.011	12632	223	true	true	16
saturation	4096	51979.497	8	800255	49588.097	0.626	0.003	0.002	0.005	0.001	49584.232	7143.260	42440.956	0.004	0.012	12632	224	true	true	16
saturation	262144	52083.147	1	800256	50411.738	0.651	0.003	0.032	0.136	0.001	50407.686	7143.078	42441.027	0.122	823.459	786782	225	true	true	16
saturation	4096	52186.603	2	800257	50411.933	0.829	0.001	0.002	0.004	0.000	50407.864	7143.067	43264.777	0.005	0.015	12632	226	true	true	16
saturation	4096	52290.066	3	800258	50412.036	0.843	0.001	0.002	0.003	0.000	50407.952	7143.056	43264.879	0.004	0.013	12632	227	true	true	16
saturation	4096	52393.450	4	800259	50412.113	0.856	0.002	0.001	0.003	0.000	50408.017	7143.047	43264.956	0.003	0.011	12632	228	true	true	16
saturation	262144	52496.585	5	800260	50412.607	0.874	0.002	0.015	0.153	0.000	50408.327	7142.865	43265.037	0.122	0.303	786782	229	true	true	16
saturation	4096	52599.854	6	800261	50412.695	1.054	0.001	0.001	0.002	0.000	50408.400	7142.855	43265.527	0.003	0.015	12632	230	true	true	16
saturation	4096	52702.969	7	800262	50412.769	1.068	0.001	0.001	0.003	0.000	50408.459	7142.843	43265.602	0.003	0.011	12632	231	true	true	16
saturation	4096	52806.286	8	800263	50412.840	1.087	0.003	0.004	0.003	0.001	50408.504	7142.819	43265.669	0.004	0.011	12632	232	true	true	16
saturation	262144	52910.373	1	800264	51236.509	1.110	0.003	0.015	0.132	0.001	51232.005	7142.657	43265.741	0.121	823.486	786782	233	true	true	16
saturation	4096	53013.151	2	800265	51236.694	1.268	0.002	0.002	0.002	0.000	51232.175	7142.648	44089.512	0.005	0.010	12632	234	true	true	16
saturation	4096	53116.636	3	800266	51236.771	1.286	0.003	0.001	0.003	0.001	51232.228	7142.629	44089.588	0.003	0.009	12632	235	true	true	16
saturation	4096	53219.954	4	800267	51236.842	1.307	0.003	0.001	0.005	0.001	51232.275	7142.611	44089.650	0.004	0.009	12632	236	true	true	16
saturation	262144	53321.981	5	800268	51237.336	1.318	0.001	0.026	0.102	0.000	51232.639	7142.486	44089.716	0.123	0.313	786782	237	true	true	16
saturation	4096	53425.419	6	800269	51237.414	1.454	0.001	0.002	0.002	0.000	51232.702	7142.476	44090.210	0.004	0.012	12632	238	true	true	16
saturation	4096	53528.588	7	800270	51237.487	1.470	0.002	0.001	0.004	0.000	51232.756	7142.461	44090.280	0.003	0.011	12632	239	true	true	16
saturation	4096	53632.055	8	800271	51237.559	1.491	0.001	0.001	0.003	0.000	51232.809	7142.449	44090.345	0.003	0.012	12632	240	true	true	16
saturation	262144	53736.167	1	800272	52062.621	1.503	0.001	0.032	0.115	0.000	52057.713	7142.294	44090.415	0.122	824.883	786782	241	true	true	16
saturation	4096	53839.153	2	800273	52063.004	1.665	0.001	0.001	0.002	0.000	52058.078	7142.280	44915.781	0.005	0.013	12632	242	true	true	16
saturation	4096	53940.949	3	800274	52063.114	1.673	0.002	0.003	0.002	0.000	52058.174	7142.270	44915.889	0.003	0.011	12632	243	true	true	16
saturation	4096	54043.764	4	800275	52063.188	1.692	0.003	0.001	0.005	0.001	52058.224	7142.253	44915.958	0.004	0.009	12632	244	true	true	16
saturation	262144	54147.206	5	800276	52060.407	0.046	0.002	0.024	0.093	0.004	52057.154	7140.674	44916.024	0.121	0.334	786782	245	true	true	16
saturation	4096	54248.868	6	800277	52060.490	0.172	0.001	0.001	0.002	0.000	52057.224	7140.670	44916.537	0.004	0.013	12632	246	true	true	16
saturation	4096	54350.719	7	800278	52060.631	0.183	0.001	0.001	0.004	0.000	52057.353	7140.661	44916.676	0.003	0.012	12632	247	true	true	16
saturation	4096	54454.127	8	800279	52060.705	0.216	0.003	0.004	0.003	0.001	52057.386	7140.625	44916.745	0.003	0.012	12632	248	true	true	16
saturation	262144	54558.270	1	800280	52886.274	0.242	0.003	0.028	0.104	0.005	52882.798	7140.472	44916.811	0.121	825.393	786782	249	true	true	16
saturation	4096	54662.074	2	800281	52886.445	0.387	0.001	0.003	0.004	0.000	52882.953	7140.463	45742.474	0.005	0.010	12632	250	true	true	16
saturation	4096	54765.465	3	800282	52886.526	0.407	0.002	0.001	0.004	0.000	52883.014	7140.448	45742.554	0.003	0.009	12632	251	true	true	16
saturation	4096	54868.804	4	800283	52886.601	0.430	0.003	0.002	0.011	0.001	52883.057	7140.418	45742.624	0.004	0.010	12632	252	true	true	16
saturation	262144	54971.890	5	800284	52887.083	0.467	0.001	0.026	0.102	0.000	52883.387	7140.271	45742.691	0.122	0.302	786782	253	true	true	16
saturation	4096	55075.437	6	800285	52887.159	0.628	0.003	0.004	0.002	0.001	52883.421	7140.235	45743.172	0.004	0.011	12632	254	true	true	16
saturation	4096	55177.143	7	800286	52887.230	0.656	0.002	0.001	0.002	0.000	52883.468	7140.215	45743.240	0.004	0.009	12632	255	true	true	16
saturation	4096	55279.885	8	800287	52887.301	0.670	0.001	0.001	0.004	0.000	52883.522	7140.202	45743.307	0.004	0.010	12632	256	true	true	16
saturation	262144	55383.961	1	800288	53712.109	0.691	0.002	0.013	0.114	0.000	53708.186	8152.331	44731.104	0.121	824.631	786782	249	true	true	18
saturation	4096	55489.046	2	800289	53712.314	0.822	0.001	0.001	0.002	0.000	53708.372	8152.343	45556.014	0.005	0.010	12632	250	true	true	18
saturation	4096	55592.435	3	800290	53712.398	0.831	0.002	0.003	0.003	0.000	53708.440	8152.335	45556.093	0.004	0.009	12632	251	true	true	18
saturation	4096	55694.944	4	800291	53712.469	0.862	0.003	0.002	0.005	0.001	53708.478	8152.305	45556.160	0.004	0.009	12632	252	true	true	18
saturation	262144	55798.728	5	800292	53712.942	0.890	0.003	0.019	0.090	0.001	53708.820	8152.180	45556.222	0.120	0.298	786782	253	true	true	18
saturation	4096	55901.614	6	800293	53713.019	1.007	0.001	0.001	0.002	0.000	53708.884	8152.175	45556.695	0.004	0.011	12632	254	true	true	18
saturation	4096	56004.305	7	800294	53713.095	1.021	0.001	0.000	0.004	0.000	53708.944	8152.163	45556.766	0.004	0.011	12632	255	true	true	18
saturation	4096	56106.033	8	800295	53713.164	1.053	0.003	0.004	0.003	0.001	53708.973	8152.134	45556.824	0.004	0.011	12632	256	true	true	18
saturation	262144	56312.782	1	800296	54534.091	1.077	0.003	0.031	0.104	0.001	54529.747	13209.244	40499.650	0.121	820.732	786782	254	true	true	28
saturation	4096	56416.487	2	800297	54534.267	1.221	0.001	0.001	0.004	0.000	54529.910	13209.260	41320.633	0.005	0.012	12632	255	true	true	28
saturation	4096	56519.385	3	800298	54534.348	1.238	0.002	0.001	0.005	0.000	54529.971	13209.250	41320.709	0.003	0.009	12632	256	true	true	28
saturation	4096	56622.446	4	800299	54534.420	1.278	0.003	0.001	0.006	0.001	54529.993	28885.622	25644.359	0.003	0.009	12632	244	true	true	59
saturation	262144	56725.758	5	800300	54534.912	1.306	0.003	0.062	0.096	0.004	54530.303	28885.481	25644.384	0.121	0.317	786782	245	true	true	59
saturation	4096	56829.194	6	800301	54535.000	1.478	0.001	0.003	0.002	0.000	54530.376	28885.480	25644.879	0.003	0.014	12632	246	true	true	59
saturation	4096	56932.300	7	800302	54535.074	1.494	0.002	0.001	0.002	0.000	54530.435	28885.472	25644.949	0.003	0.011	12632	247	true	true	59
saturation	4096	57033.914	8	800303	54535.143	1.506	0.003	0.002	0.006	0.001	54530.485	28885.456	25645.016	0.004	0.009	12632	248	true	true	59
saturation	262144	57136.915	1	800304	55359.888	1.533	0.001	0.030	0.099	0.000	55355.086	28885.313	25645.079	0.121	824.573	786782	249	true	true	59
saturation	4096	57240.891	2	800305	55360.083	1.680	0.001	0.001	0.002	0.000	55355.258	28885.300	26469.942	0.005	0.010	12632	250	true	true	59
saturation	4096	57344.330	3	800306	55360.168	1.692	0.003	0.004	0.004	0.001	55355.320	28885.283	26470.024	0.004	0.010	12632	251	true	true	59
saturation	4096	57447.621	4	800307	55360.242	1.714	0.002	0.001	0.003	0.000	55355.378	28885.270	26470.095	0.004	0.009	12632	252	true	true	59
saturation	262144	57550.226	5	800308	55357.535	0.027	0.002	0.014	0.093	0.000	55354.089	28883.510	26470.162	0.121	0.295	786782	253	true	true	59
saturation	4096	57653.136	6	800309	55357.611	0.144	0.001	0.001	0.002	0.000	55354.150	28883.504	26470.632	0.004	0.010	12632	254	true	true	59
saturation	4096	57756.312	7	800310	55357.681	0.148	0.001	0.001	0.004	0.000	55354.215	28883.505	26470.697	0.004	0.009	12632	255	true	true	59
saturation	4096	57859.749	8	800311	55357.750	0.153	0.001	0.002	0.002	0.000	55354.278	28883.503	26470.761	0.004	0.009	12632	256	true	true	59
saturation	262144	57963.864	1	800312	56285.524	0.160	0.001	0.027	0.162	0.000	56281.859	29894.954	25459.187	0.121	927.597	786782	249	true	true	61
saturation	4096	58068.890	2	800313	56285.700	0.356	0.001	0.001	0.003	0.000	56282.022	29894.975	26387.032	0.005	0.011	12632	250	true	true	61
saturation	4096	58172.276	3	800314	56285.780	0.372	0.002	0.001	0.004	0.000	56282.083	29894.961	26387.109	0.004	0.009	12632	251	true	true	61
saturation	4096	58275.331	4	800315	56285.853	0.392	0.003	0.001	0.005	0.001	56282.131	29894.941	26387.179	0.003	0.009	12632	252	true	true	61
saturation	262144	58377.911	5	800316	56286.338	0.395	0.001	0.029	0.129	0.000	56282.446	29894.781	26387.239	0.121	0.305	786782	253	true	true	61
saturation	4096	58483.454	6	800317	56286.417	0.564	0.001	0.002	0.002	0.000	56282.506	29894.774	26387.717	0.004	0.011	12632	254	true	true	61
saturation	4096	58586.630	7	800318	56286.492	0.582	0.002	0.001	0.003	0.000	56282.563	29894.760	26387.787	0.004	0.011	12632	255	true	true	61
saturation	4096	58689.992	8	800319	56286.563	0.601	0.003	0.002	0.003	0.001	56282.611	29894.742	26387.854	0.004	0.011	12632	256	true	true	61
saturation	262144	58792.137	1	800320	57109.553	0.616	0.001	0.013	0.107	0.000	57105.475	30473.211	25809.327	0.121	822.816	786782	249	true	true	62
saturation	4096	58894.549	2	800321	57109.752	0.744	0.002	0.001	0.002	0.000	57105.658	30473.221	26632.417	0.004	0.015	12632	250	true	true	62
saturation	4096	58997.310	3	800322	57109.892	0.755	0.001	0.007	0.003	0.000	57105.779	30473.208	26632.545	0.003	0.022	12632	251	true	true	62
saturation	4096	59100.136	4	800323	57109.972	0.779	0.001	0.001	0.003	0.000	57105.840	30473.194	26632.631	0.003	0.012	12632	252	true	true	62
saturation	262144	59201.607	5	800324	57110.490	0.800	0.003	0.035	0.100	0.001	57106.203	30473.042	26632.702	0.157	0.302	786782	253	true	true	62
saturation	4096	59305.057	6	800325	57110.602	0.963	0.001	0.001	0.002	0.000	57106.283	30473.018	26633.227	0.026	0.012	12632	254	true	true	62
saturation	4096	59407.753	7	800326	57110.679	0.983	0.003	0.001	0.003	0.001	57106.337	30472.999	26633.323	0.004	0.012	12632	255	true	true	62
saturation	4096	59511.162	8	800327	57110.761	1.001	0.001	0.007	0.002	0.000	57106.398	30472.981	26633.402	0.003	0.011	12632	256	true	true	62
saturation	262144	59614.878	1	800328	57937.331	1.019	0.002	0.013	0.093	0.000	57932.856	31412.991	25693.352	0.171	826.341	786782	249	true	true	64
saturation	4096	59718.327	2	800329	57937.588	1.149	0.023	0.001	0.002	0.000	57933.062	31412.972	26520.073	0.005	0.012	12632	250	true	true	64
saturation	4096	59821.798	3	800330	57937.661	1.186	0.002	0.001	0.004	0.000	57933.126	31412.959	26520.155	0.003	0.009	12632	251	true	true	64
saturation	4096	59925.252	4	800331	57937.733	1.202	0.001	0.001	0.005	0.000	57933.182	31412.948	26520.222	0.003	0.009	12632	252	true	true	64
saturation	262144	60029.370	5	800332	57938.232	1.219	0.001	0.017	0.111	0.000	57933.541	31412.812	26520.291	0.121	0.317	786782	253	true	true	64
saturation	4096	60132.874	6	800333	57938.313	1.359	0.002	0.003	0.002	0.000	57933.603	31412.798	26520.787	0.004	0.014	12632	254	true	true	64
saturation	4096	60234.550	7	800334	57938.535	1.381	0.005	0.002	0.003	0.000	57933.798	31412.777	26521.000	0.004	0.017	12632	255	true	true	64
saturation	4096	60337.873	8	800335	57938.617	1.402	0.003	0.001	0.002	0.001	57933.860	31412.763	26521.081	0.004	0.012	12632	256	true	true	64
saturation	262144	60442.825	1	800336	58764.647	1.411	0.002	0.027	0.108	0.000	58759.748	32421.085	25512.691	0.120	825.852	786782	249	true	true	66
saturation	4096	60546.512	2	800337	58764.837	1.555	0.002	0.001	0.002	0.000	58759.922	32421.096	26338.765	0.004	0.057	12632	250	true	true	66
saturation	4096	60649.919	3	800338	58764.948	1.575	0.003	0.004	0.004	0.001	58760.006	32421.074	26338.913	0.004	0.015	12632	251	true	true	66
saturation	4096	60752.378	4	800339	58765.027	1.597	0.004	0.002	0.005	0.001	58760.061	32421.057	26338.991	0.003	0.010	12632	252	true	true	66
saturation	262144	60856.422	5	800340	58762.192	0.031	0.001	0.014	0.133	0.000	58758.757	32419.201	26339.132	0.121	0.303	786782	253	true	true	66
saturation	4096	60960.037	6	800341	58762.269	0.185	0.011	0.001	0.002	0.000	58758.808	32419.182	26339.612	0.004	0.010	12632	254	true	true	66
saturation	4096	61064.029	7	800342	58762.340	0.210	0.002	0.001	0.003	0.000	58758.860	32419.165	26339.681	0.004	0.010	12632	255	true	true	66
saturation	4096	61165.633	8	800343	58762.409	0.217	0.001	0.002	0.002	0.000	58758.923	32419.162	26339.748	0.004	0.009	12632	256	true	true	66
saturation	262144	61269.586	1	800344	59584.227	0.222	0.001	0.015	0.163	0.000	59580.564	33051.949	25706.850	0.120	821.645	786782	249	true	true	67
saturation	4096	61372.421	2	800345	59584.396	0.416	0.003	0.001	0.004	0.000	59580.710	33051.952	26528.743	0.005	0.010	12632	250	true	true	67
saturation	4096	61474.491	3	800346	59584.473	0.431	0.001	0.001	0.003	0.000	59580.774	33051.946	26528.816	0.003	0.009	12632	251	true	true	67
saturation	4096	61577.790	4	800347	59584.542	0.446	0.002	0.001	0.004	0.000	59580.823	33051.932	26528.879	0.004	0.009	12632	252	true	true	67
saturation	262144	61681.791	5	800348	59585.018	0.469	0.003	0.029	0.102	0.001	59581.148	33051.791	26528.938	0.122	0.298	786782	253	true	true	67
saturation	4096	61785.154	6	800349	59585.094	0.607	0.003	0.004	0.002	0.001	59581.196	33051.772	26529.408	0.003	0.012	12632	254	true	true	67
saturation	4096	61888.438	7	800350	59585.169	0.632	0.001	0.001	0.004	0.000	59581.249	33051.755	26529.478	0.004	0.012	12632	255	true	true	67
saturation	4096	61991.753	8	800351	59585.239	0.649	0.001	0.001	0.002	0.000	59581.302	33051.743	26529.545	0.004	0.011	12632	256	true	true	67
saturation	262144	62094.959	1	800352	60411.677	0.670	0.003	0.023	0.117	0.001	60407.579	33937.195	25644.032	0.119	826.234	786782	249	true	true	69
saturation	4096	62197.492	2	800353	60411.826	0.829	0.001	0.001	0.003	0.000	60407.703	33937.217	26470.466	0.006	0.014	12632	250	true	true	69
saturation	4096	62301.112	3	800354	60411.906	0.849	0.003	0.004	0.003	0.001	60407.756	33937.203	26470.539	0.004	0.011	12632	251	true	true	69
saturation	4096	62404.574	4	800355	60411.980	0.870	0.001	0.001	0.004	0.000	60407.813	33937.196	26470.604	0.004	0.009	12632	252	true	true	69
saturation	262144	62507.036	5	800356	60412.458	0.888	0.002	0.023	0.091	0.000	60408.160	33937.069	26470.671	0.124	0.296	786782	253	true	true	69
saturation	4096	62610.179	6	800357	60412.536	1.021	0.002	0.001	0.002	0.000	60408.216	33937.059	26471.143	0.004	0.010	12632	254	true	true	69
saturation	4096	62713.613	7	800358	60412.607	1.043	0.003	0.002	0.005	0.001	60408.256	33937.032	26471.210	0.003	0.010	12632	255	true	true	69
saturation	4096	62816.852	8	800359	60412.678	1.064	0.002	0.002	0.003	0.000	60408.306	33937.020	26471.272	0.004	0.009	12632	256	true	true	69
saturation	262144	62921.026	1	800360	61238.787	1.083	0.001	0.023	0.101	0.000	61234.276	34949.640	25458.586	0.121	825.929	786782	249	true	true	71
saturation	4096	63024.018	2	800361	61238.944	1.226	0.001	0.001	0.003	0.000	61234.410	34949.635	26284.760	0.005	0.010	12632	250	true	true	71
saturation	4096	63127.477	3	800362	61239.027	1.246	0.003	0.002	0.005	0.001	61234.467	34949.613	26284.843	0.003	0.009	12632	251	true	true	71
saturation	4096	63229.774	4	800363	61239.101	1.268	0.002	0.001	0.007	0.000	61234.519	34949.593	26284.914	0.003	0.010	12632	252	true	true	71
saturation	262144	63333.785	5	800364	61239.550	1.280	0.001	0.021	0.092	0.000	61234.848	34949.475	26284.980	0.098	0.294	786782	253	true	true	71
saturation	4096	63435.762	6	800365	61239.623	1.400	0.001	0.002	0.002	0.000	61234.907	34949.465	26285.429	0.003	0.011	12632	254	true	true	71
saturation	4096	63539.188	7	800366	61239.698	1.416	0.002	0.001	0.004	0.000	61234.964	34949.449	26285.501	0.003	0.011	12632	255	true	true	71
saturation	4096	63642.627	8	800367	61239.792	1.440	0.003	0.002	0.003	0.001	61235.032	34949.424	26285.595	0.003	0.010	12632	256	true	true	71
saturation	262144	63747.301	1	800368	62064.176	1.460	0.001	0.023	0.103	0.000	62059.277	35528.418	25706.531	0.097	824.230	786782	249	true	true	72
saturation	4096	63850.748	2	800369	62064.382	1.599	0.001	0.001	0.002	0.000	62059.467	35528.420	26531.028	0.006	0.014	12632	250	true	true	72
saturation	4096	63951.525	3	800370	62064.473	1.610	0.003	0.004	0.004	0.001	62059.535	35528.401	26531.120	0.003	0.012	12632	251	true	true	72
saturation	4096	64054.607	4	800371	62064.547	1.637	0.002	0.001	0.003	0.000	62059.586	35528.383	26531.191	0.003	0.009	12632	252	true	true	72
saturation	262144	64157.790	5	800372	62061.685	1.588	0.002	0.036	0.106	0.000	62059.919	35528.227	26531.259	0.123	0.310	786782	253	true	true	72
saturation	4096	64261.314	6	800373	62061.763	1.747	0.001	0.001	0.002	0.000	62059.976	35528.212	26531.748	0.003	0.013	12632	254	true	true	72
saturation	4096	64364.661	7	800374	62061.836	1.758	0.002	0.001	0.004	0.000	62060.034	35528.200	26531.819	0.004	0.012	12632	255	true	true	72
saturation	4096	64468.098	8	800375	62061.908	1.763	0.002	0.003	0.002	0.000	62060.087	35528.184	26531.888	0.003	0.012	12632	256	true	true	72
saturation	262144	64572.033	1	800376	62887.067	1.775	0.001	0.045	0.118	0.000	62885.076	36466.836	25593.139	0.120	824.981	786782	249	true	true	74
saturation	4096	64674.524	2	800377	62887.237	1.943	0.001	0.001	0.003	0.000	62885.234	36466.853	26418.366	0.005	0.010	12632	250	true	true	74
saturation	4096	64777.072	3	800378	62887.316	1.946	0.001	0.001	0.003	0.000	62885.300	36466.848	26418.439	0.004	0.009	12632	251	true	true	74
saturation	4096	64880.476	4	800379	62887.385	1.965	0.003	0.002	0.006	0.001	62885.342	36466.824	26418.506	0.003	0.009	12632	252	true	true	74
saturation	262144	64984.589	5	800380	62887.957	1.988	0.001	0.025	0.102	0.000	62885.773	36466.692	26418.637	0.121	0.323	786782	253	true	true	74
saturation	4096	65088.287	6	800381	62888.047	2.122	0.001	0.002	0.003	0.000	62885.843	36466.682	26419.143	0.003	0.014	12632	254	true	true	74
saturation	4096	65191.742	7	800382	62888.123	2.140	0.003	0.002	0.003	0.001	62885.894	36466.667	26419.214	0.003	0.010	12632	255	true	true	74
saturation	4096	65294.272	8	800383	62888.223	2.153	0.001	0.003	0.006	0.000	62885.976	36466.652	26419.309	0.003	0.011	12632	256	true	true	74
size-controlled	262144	504.627	1	800000	3.174	0.048	0.007	0.054	0.115	0.006	2.867	0.422	0.013	0.016	2.416	786782	1	false	false	0
size-controlled	4096	526.906	2	800001	3.195	0.218	0.002	0.002	0.004	0.000	2.879	0.422	2.454	0.000	0.003	12632	2	false	false	0
size-controlled	4096	548.836	3	800002	3.205	0.226	0.002	0.001	0.003	0.000	2.884	0.511	2.367	0.000	0.005	12632	2	true	false	0
size-controlled	4096	572.026	4	800003	3.213	0.231	0.001	0.001	0.003	0.000	2.883	0.509	2.371	0.001	0.002	12632	3	true	false	0
size-controlled	262144	595.598	5	800004	9.541	0.236	0.001	0.028	0.136	0.000	9.045	0.705	2.016	0.014	6.309	786782	4	true	false	0
size-controlled	4096	618.678	6	800005	9.560	0.410	0.001	0.001	0.002	0.000	9.050	0.697	8.348	0.000	0.004	12632	5	true	false	0
size-controlled	4096	641.846	7	800006	9.586	0.419	0.001	0.002	0.003	0.000	9.066	0.692	8.367	0.000	0.007	12632	6	true	false	0
size-controlled	4096	664.650	8	800007	9.599	0.428	0.001	0.001	0.003	0.000	9.070	0.689	8.374	0.000	0.008	12632	7	true	false	0
size-controlled	262144	688.357	1	800008	12.590	0.433	0.001	0.012	0.120	0.000	11.923	0.899	8.041	0.015	2.969	786782	8	true	false	0
size-controlled	4096	710.578	2	800009	12.604	0.568	0.001	0.001	0.002	0.000	11.929	0.896	11.026	0.000	0.006	12632	9	true	false	0
size-controlled	4096	733.755	3	800010	12.610	0.576	0.001	0.001	0.003	0.000	11.928	0.893	11.030	0.000	0.005	12632	10	true	false	0
size-controlled	4096	756.978	4	800011	12.617	0.585	0.001	0.002	0.002	0.000	11.926	0.888	11.035	0.000	0.003	12632	11	true	false	0
size-controlled	262144	779.719	5	800012	596.286	0.594	0.001	0.014	0.129	0.000	595.448	1.076	10.707	0.017	583.649	786782	12	true	false	0
size-controlled	4096	803.345	6	800013	596.502	0.741	0.001	0.001	0.002	0.000	595.655	1.073	594.558	0.003	0.021	12632	13	true	false	0
size-controlled	4096	826.939	7	800014	596.595	0.745	0.001	0.001	0.002	0.000	595.740	1.070	594.649	0.002	0.019	12632	14	true	false	0
size-controlled	4096	849.346	8	800015	596.678	0.748	0.001	0.001	0.002	0.000	595.816	1.067	594.727	0.002	0.019	12632	15	true	false	0
size-controlled	262144	873.046	1	800016	597.324	0.754	0.001	0.026	0.146	0.000	596.283	1.258	594.518	0.089	0.417	786782	16	true	false	0
size-controlled	4096	896.461	2	800017	597.471	0.933	0.001	0.001	0.002	0.000	596.420	1.254	595.150	0.002	0.013	12632	17	true	false	0
size-controlled	4096	919.859	3	800018	597.580	0.938	0.001	0.001	0.003	0.000	596.522	1.251	595.259	0.002	0.011	12632	18	true	false	0
size-controlled	4096	943.057	4	800019	597.526	0.864	0.001	0.001	0.003	0.000	596.581	1.247	595.324	0.002	0.009	12632	19	true	false	0
size-controlled	262144	966.845	5	800020	780.072	0.872	0.001	0.024	0.114	0.000	778.984	1.421	595.073	0.068	182.423	786782	20	true	false	0
size-controlled	4096	989.321	6	800021	780.252	1.016	0.001	0.001	0.002	0.000	779.153	1.416	777.710	0.004	0.023	12632	21	true	false	0
size-controlled	4096	1012.559	7	800022	780.339	1.026	0.003	0.001	0.007	0.000	779.220	1.402	777.795	0.003	0.020	12632	22	true	false	0
size-controlled	4096	1034.948	8	800023	780.424	1.042	0.001	0.001	0.003	0.000	779.294	1.396	777.875	0.003	0.020	12632	23	true	false	0
size-controlled	262144	1058.701	1	800024	780.881	1.052	0.001	0.012	0.129	0.000	779.604	1.572	777.634	0.121	0.277	786782	24	true	false	0
size-controlled	4096	1082.105	2	800025	780.984	1.199	0.001	0.002	0.002	0.000	779.697	1.567	778.117	0.003	0.011	12632	25	true	false	0
size-controlled	4096	1105.024	3	800026	781.050	1.208	0.001	0.001	0.003	0.000	779.759	1.568	778.179	0.003	0.009	12632	26	true	false	0
size-controlled	4096	1128.192	4	800027	781.120	1.216	0.001	0.001	0.003	0.000	779.819	1.785	778.021	0.004	0.009	12632	23	true	false	0
size-controlled	262144	1406.743	5	800028	1176.340	1.222	0.001	0.014	0.097	0.000	1174.923	3.037	1171.363	0.123	0.401	786782	35	true	false	0
size-controlled	4096	1430.343	6	800029	1176.425	1.337	0.001	0.001	0.002	0.000	1175.001	3.035	1171.949	0.004	0.013	12632	36	true	false	0
size-controlled	4096	1452.806	7	800030	1176.558	1.344	0.001	0.001	0.003	0.000	1175.125	3.031	1172.081	0.004	0.009	12632	37	true	false	0
size-controlled	4096	1474.779	8	800031	1176.628	1.350	0.001	0.001	0.002	0.000	1175.187	3.028	1172.146	0.004	0.009	12632	38	true	false	0
size-controlled	262144	1498.904	1	800032	1359.803	1.356	0.001	0.010	0.113	0.000	1358.234	3.236	1171.879	0.121	182.999	786782	39	true	false	0
size-controlled	4096	1520.875	2	800033	1359.966	1.482	0.001	0.001	0.003	0.000	1358.389	3.233	1355.133	0.002	0.021	12632	40	true	false	0
size-controlled	4096	1542.521	3	800034	1360.063	1.489	0.001	0.002	0.003	0.000	1358.476	3.228	1355.218	0.002	0.028	12632	41	true	false	0
size-controlled	4096	1565.760	4	800035	1360.150	1.496	0.001	0.001	0.002	0.000	1358.556	3.226	1355.307	0.003	0.020	12632	42	true	false	0
size-controlled	262144	1588.078	5	800036	1360.843	1.501	0.001	0.012	0.092	0.000	1359.139	3.392	1355.113	0.122	0.512	786782	43	true	false	0
size-controlled	4096	1609.851	6	800037	1361.015	1.610	0.001	0.001	0.002	0.000	1359.305	3.390	1355.857	0.004	0.054	12632	44	true	false	0
size-controlled	4096	1631.304	7	800038	1361.205	1.616	0.001	0.001	0.002	0.000	1359.488	3.389	1356.077	0.003	0.019	12632	45	true	false	0
size-controlled	4096	1653.291	8	800039	1361.287	1.621	0.001	0.002	0.002	0.000	1359.560	3.384	1356.154	0.003	0.019	12632	46	true	false	0
size-controlled	262144	1676.127	1	800040	1361.704	1.629	0.001	0.010	0.092	0.000	1359.870	3.592	1355.921	0.120	0.237	786782	47	true	false	0
size-controlled	4096	1699.321	2	800041	1361.780	1.734	0.001	0.001	0.002	0.000	1359.939	3.590	1356.336	0.003	0.010	12632	48	true	false	0
size-controlled	4096	1722.519	3	800042	1361.868	1.740	0.003	0.001	0.003	0.000	1360.014	3.582	1356.419	0.003	0.010	12632	49	true	false	0
size-controlled	4096	1745.706	4	800043	1361.938	1.752	0.001	0.001	0.002	0.000	1360.073	3.577	1356.482	0.003	0.011	12632	50	true	false	0
size-controlled	262144	1768.877	5	800044	1464.215	1.759	0.001	0.027	0.111	0.000	1462.211	3.718	1356.265	0.122	102.107	786782	51	true	false	0
size-controlled	4096	1792.111	6	800045	1464.372	1.899	0.001	0.001	0.002	0.000	1462.359	3.715	1458.628	0.004	0.012	12632	52	true	false	0
size-controlled	4096	1815.421	7	800046	1464.533	1.900	0.001	0.001	0.002	0.000	1462.511	3.711	1458.785	0.004	0.011	12632	53	true	false	0
size-controlled	4096	1838.673	8	800047	1464.605	1.908	0.001	0.001	0.003	0.000	1462.572	3.705	1458.854	0.004	0.010	12632	54	true	false	0
size-controlled	262144	1861.065	1	800048	1588.721	1.919	0.001	0.011	0.097	0.000	1586.572	3.900	1458.612	0.122	123.937	786782	55	true	false	0
